customer_id,full_name,birth_date,city,income,join_date
174,Sevinc Guliyeva,09/12/1999,Sumqayit,1017,15/08/2022
50,Sevinc Guliyeva,23/12/1998,Sheki,0,21/03/2021
258,Kamran Aliyev,16/02/1990,Sumqayit,6598,27/04/2023
291,Nigar Abbasova,13/05/2000,Sheki,0,11/10/2020
134,Kamran Aliyev,07/06/2003,Baku,0,12/03/2022
107,Ulvi Hasanov,20/04/1994,Lankaran,0,12/09/2020
45,Elvin Karimov,31/07/1998,Sumqayit,3692,05/08/2020
239,Ilkin Mammadov,18/03/2016,Sumqayit,2001,09/07/2021
233,Kamran Aliyev,13/03/1989,Nakhchivan,0,15/10/2023
282,Nigar Abbasova,29/09/1993,Lankaran,0,25/01/2020
240,Ilkin Mammadov,27/06/2003,Baku,0,28/01/2021
114,Rashad Abdullayev,27/07/2006,Nakhchivan,0,28/02/2020
20,Gunay Rahimova,01/02/1993,Lankaran,1869,20/12/2020
31,Murad Ismayilov,24/07/2013,Ganja,2054,10/11/2020
42,Nigar Abbasova,15/09/1992,Ganja,0,26/06/2022
53,Ali Ahmadov,25/01/1995,Nakhchivan,0,29/01/2020
64,Rashad Abdullayev,31/07/2002,Sumqayit,0,19/10/2021
75,Turan Ismayilzada,13/04/2015,Sumqayit,3906,05/02/2024
86,Leyla Huseynova,11/11/2015,Baku,0,31/08/2021
28,Nurlan Jafarov,03/09/1999,Sumqayit,0,09/02/2022
39,Murad Ismayilov,31/01/1991,Ganja,5448,05/12/2020
61,Fidan Taghizade,04/09/1993,Baku,2141,12/12/2022
72,Nigar Abbasova,27/02/1994,Nakhchivan,0,06/03/2022
201,Leyla Huseynova,16/08/2005,Ganja,0,01/07/2021
159,Sevinc Guliyeva,08/07/2006,Lankaran,0,05/05/2022
265,Konul Gasimova,28/10/2007,Baku,0,22/10/2022
187,Rashad Abdullayev,04/04/2016,Sheki,0,11/04/2022
131,Gunay Rahimova,28/04/2013,Sheki,5673,18/05/2023
268,Emin Safarov,13/07/1992,Sheki,0,09/09/2022
232,Kamran Aliyev,30/05/2012,Sheki,1313,23/01/2023
133,Murad Ismayilov,21/09/1993,Lankaran,3275,15/04/2021
170,Murad Ismayilov,30/05/2013,Ganja,0,06/05/2023
137,Nurlan Jafarov,28/12/2008,Sumqayit,0,16/06/2020
249,Rashad Abdullayev,25/09/2015,Lankaran,0,02/06/2023
224,Ilkin Mammadov,03/11/2005,Nakhchivan,5073,27/11/2021
189,Murad Ismayilov,14/07/1989,Baku,6659,02/09/2020
136,Leyla Huseynova,01/05/2002,Sheki,5754,10/11/2021
156,Turan Ismayilzada,24/03/2019,Nakhchivan,0,01/02/2022
216,Turan Ismayilzada,01/11/2009,Nakhchivan,0,03/06/2020
119,Ilkin Mammadov,11/12/1996,Sheki,5601,19/12/2022
122,Gunay Rahimova,25/02/2018,Sumqayit,0,03/12/2021
125,Emin Safarov,15/09/1989,Lankaran,2651,12/03/2020
254,Lala Ibrahimli,02/03/2016,Nakhchivan,0,23/07/2021
151,Nigar Abbasova,01/12/1995,Ganja,2839,19/11/2022
124,Gunay Rahimova,26/10/1991,Sumqayit,3421,29/05/2022
250,Elvin Karimov,14/07/1997,Sumqayit,0,05/03/2020
274,Amina Aliyeva,25/08/2006,Ganja,1396,12/03/2022
276,Nigar Abbasova,05/01/1992,Baku,4626,24/01/2024
132,Gunay Rahimova,03/11/1999,Sheki,0,28/06/2023
246,Lala Ibrahimli,10/09/2010,Sheki,2223,25/02/2020
225,Turan Ismayilzada,11/08/2011,Lankaran,3008,09/01/2020
252,Rauf Rzayev,17/12/1997,Ganja,6241,21/09/2022
208,Kamran Aliyev,18/04/1997,Lankaran,4917,18/04/2022
193,Ilkin Mammadov,06/01/2015,Sumqayit,2324,24/08/2020
262,Fidan Taghizade,29/01/2015,Baku,0,01/02/2020
300,Nurlan Jafarov,21/07/1997,Sumqayit,0,07/10/2023
237,Ilkin Mammadov,09/04/1995,Sheki,0,08/09/2023
251,Gunay Rahimova,15/03/1998,Sumqayit,0,22/02/2023
214,Kamran Aliyev,17/09/2008,Sheki,6149,16/03/2023
266,Elvin Karimov,02/08/1989,Nakhchivan,4217,19/06/2022
228,Kamran Aliyev,24/08/1996,Ganja,4685,31/10/2022
213,Leyla Huseynova,06/06/1998,Lankaran,6572,06/01/2024
185,Emin Safarov,10/01/2011,Ganja,6527,02/04/2023
277,Amina Aliyeva,04/10/2003,Baku,0,19/11/2021
288,Sevinc Guliyeva,17/05/2002,Ganja,828,23/08/2021
165,Sevinc Guliyeva,15/05/2009,Baku,0,28/12/2020
